Time (UTC),Open,High,Low,Close,Volume 
2003.08.03 21:00:00,0.65152,0.65201,0.65084,0.65118,117353.684
2003.08.04 01:00:00,0.65118,0.65188,0.65019,0.65073,20091.57
2003.08.04 05:00:00,0.651,0.65228,0.65085,0.65125,26433.98
2003.08.04 09:00:00,0.6515,0.65192,0.64977,0.65045,43484.79
2003.08.04 13:00:00,0.64978,0.65001,0.64572,0.6476,17907.41
2003.08.04 17:00:00,0.64768,0.64768,0.64349,0.6469,11677.56
2003.08.04 21:00:00,0.64662,0.64749,0.64559,0.6458,14134.74
2003.08.05 01:00:00,0.64567,0.64806,0.64567,0.647,18141.7
2003.08.05 05:00:00,0.64704,0.64725,0.64197,0.643,23163.02
2003.08.05 09:00:00,0.64273,0.64366,0.64054,0.64291,40123.31
2003.08.05 13:00:00,0.64295,0.64644,0.64175,0.6451,17150.64
2003.08.05 17:00:00,0.64485,0.64705,0.64465,0.64635,10804.64
2003.08.05 21:00:00,0.64681,0.64867,0.64526,0.64794,13152.52
2003.08.06 01:00:00,0.64775,0.65062,0.64758,0.64965,16791.75
2003.08.06 05:00:00,0.64959,0.65077,0.64873,0.6498,22071.01
2003.08.06 09:00:00,0.6499,0.6501,0.64735,0.64745,39075.53
2003.08.06 13:00:00,0.6475,0.64884,0.64607,0.64715,16337.15
2003.08.06 17:00:00,0.64728,0.64848,0.64711,0.64753,10074.17
2003.08.06 21:00:00,0.64751,0.64864,0.64721,0.64832,12247.34
2003.08.07 01:00:00,0.6481,0.64835,0.64487,0.64499,20135.75
2003.08.07 05:00:00,0.64518,0.64758,0.6441,0.64657,25851.95
2003.08.07 09:00:00,0.64642,0.64923,0.64613,0.6474,41170.77
2003.08.07 13:00:00,0.64753,0.6515,0.64743,0.65016,16450.08
2003.08.07 17:00:00,0.65025,0.65168,0.64995,0.6513,10016.74
2003.08.07 21:00:00,0.65133,0.65189,0.65,0.6503,12373.71
2003.08.08 01:00:00,0.65021,0.65111,0.65003,0.6504,18937.23
2003.08.08 05:00:00,0.65058,0.65263,0.65009,0.65097,23694.91
2003.08.08 09:00:00,0.65076,0.65145,0.65008,0.65016,43169.93
2003.08.08 13:00:00,0.6501,0.65373,0.65008,0.65272,17133.58
2003.08.08 17:00:00,0.65268,0.65355,0.65117,0.65237,10197.64
2003.08.10 21:00:00,0.65246,0.65276,0.65015,0.65123,8612.21
2003.08.11 01:00:00,0.651,0.6539,0.65044,0.65335,18827.56
2003.08.11 05:00:00,0.65309,0.65515,0.65242,0.6537,26235.8
2003.08.11 09:00:00,0.65367,0.65727,0.65269,0.6569,43194.15
2003.08.11 13:00:00,0.65665,0.65968,0.65563,0.65924,20951.52
2003.08.11 17:00:00,0.65958,0.65968,0.65756,0.6581,12098.33
2003.08.11 21:00:00,0.65795,0.65838,0.65668,0.65734,11983.31
2003.08.12 01:00:00,0.65713,0.65838,0.65625,0.65797,17937.22
2003.08.12 05:00:00,0.65811,0.6612,0.65768,0.65895,23024.33
2003.08.12 09:00:00,0.65885,0.65933,0.65623,0.65718,42791.96
2003.08.12 13:00:00,0.65699,0.65875,0.65625,0.65719,19815.3
2003.08.12 17:00:00,0.65745,0.66078,0.65551,0.65593,11906.78
2003.08.12 21:00:00,0.65611,0.65675,0.65464,0.65547,12430.72
2003.08.13 01:00:00,0.6555,0.65668,0.65389,0.65482,17931.65
2003.08.13 05:00:00,0.65469,0.65525,0.65216,0.65439,22149.84
2003.08.13 09:00:00,0.65475,0.65588,0.65291,0.6541,38617.37
2003.08.13 13:00:00,0.65376,0.65805,0.65343,0.65708,18794.32
2003.08.13 17:00:00,0.65738,0.65887,0.6568,0.65802,10491.49
2003.08.13 21:00:00,0.65825,0.65885,0.65669,0.65791,11078.67
2003.08.14 01:00:00,0.65761,0.65894,0.65704,0.65811,16153.63
2003.08.14 05:00:00,0.65826,0.65915,0.65712,0.65863,24414.65
2003.08.14 09:00:00,0.6584,0.65875,0.65489,0.65662,43462.44
2003.08.14 13:00:00,0.65653,0.6584,0.65471,0.65544,18921.85
2003.08.14 17:00:00,0.65555,0.65835,0.65502,0.6561,10474.95
2003.08.14 21:00:00,0.6562,0.65805,0.65573,0.65589,13120.15
2003.08.15 01:00:00,0.65594,0.65771,0.65553,0.65706,18369.78
2003.08.15 05:00:00,0.65715,0.65925,0.65661,0.65845,22843.42
2003.08.15 09:00:00,0.65846,0.65979,0.65738,0.65851,43141.62
2003.08.15 13:00:00,0.65874,0.66022,0.65779,0.65979,12423.79
2003.08.15 17:00:00,0.65995,0.66049,0.65835,0.65979,10170.74
2003.08.17 21:00:00,0.66029,0.66195,0.65973,0.66085,8773.99
2003.08.18 01:00:00,0.66094,0.66149,0.6593,0.6608,18863.36
2003.08.18 05:00:00,0.66076,0.6619,0.66001,0.66066,25924.33
2003.08.18 09:00:00,0.6604,0.6612,0.65816,0.65885,45801.84
2003.08.18 13:00:00,0.65868,0.65896,0.65488,0.65689,20878.8
2003.08.18 17:00:00,0.6567,0.65932,0.65655,0.65773,12678.68
2003.08.18 21:00:00,0.65777,0.6583,0.65601,0.65686,11013.53
2003.08.19 01:00:00,0.65657,0.65687,0.65391,0.65465,17275.22
2003.08.19 05:00:00,0.6547,0.6557,0.65291,0.6554,23185.7
2003.08.19 09:00:00,0.65543,0.65593,0.65228,0.6525,42693.63
2003.08.19 13:00:00,0.65253,0.65678,0.65215,0.65465,19963.15
2003.08.19 17:00:00,0.65485,0.65655,0.65344,0.65572,11615.16
2003.08.19 21:00:00,0.65608,0.6566,0.65431,0.65488,11730.28
2003.08.20 01:00:00,0.65472,0.65566,0.65375,0.65505,17817.95
2003.08.20 05:00:00,0.65508,0.65678,0.6545,0.65573,22292.16
2003.08.20 09:00:00,0.65575,0.65945,0.65477,0.65896,41255.68
2003.08.20 13:00:00,0.65896,0.66213,0.65798,0.65983,19107.75
2003.08.20 17:00:00,0.6599,0.66142,0.65943,0.66034,10772.29
2003.08.20 21:00:00,0.66024,0.66095,0.65822,0.65851,11770.96
2003.08.21 01:00:00,0.65854,0.65925,0.65626,0.65762,20051.44
2003.08.21 05:00:00,0.65757,0.65858,0.65599,0.65729,25975.97
2003.08.21 09:00:00,0.65726,0.6598,0.65624,0.65789,43857.35
2003.08.21 13:00:00,0.65785,0.6593,0.6508,0.65365,18989.35
2003.08.21 17:00:00,0.65365,0.65485,0.65195,0.65368,10485.3
2003.08.21 21:00:00,0.65368,0.6548,0.65221,0.65378,12531.13
2003.08.22 01:00:00,0.65386,0.65425,0.65008,0.65144,18780.78
2003.08.22 05:00:00,0.65136,0.65239,0.64892,0.64907,23621.24
2003.08.22 09:00:00,0.64906,0.65164,0.64882,0.64941,45937.46
2003.08.22 13:00:00,0.6493,0.65166,0.64704,0.64949,19788.64
2003.08.22 17:00:00,0.64944,0.65292,0.64911,0.65218,10821.76
2003.08.24 21:00:00,0.6511,0.65178,0.64942,0.65035,8299.38
2003.08.25 01:00:00,0.65026,0.65138,0.6494,0.65068,18278.02
2003.08.25 05:00:00,0.65043,0.6529,0.65005,0.65221,25813.87
2003.08.25 09:00:00,0.65219,0.65345,0.65012,0.65108,42931.37
2003.08.25 13:00:00,0.65111,0.6531,0.65035,0.65176,20910.32
2003.08.25 17:00:00,0.65207,0.65207,0.64951,0.64958,11806.64
2003.08.25 21:00:00,0.64975,0.65038,0.64715,0.6475,13340.85
2003.08.26 01:00:00,0.64751,0.64798,0.64444,0.64572,18163.65
2003.08.26 05:00:00,0.64562,0.64678,0.64462,0.64611,23117.02
2003.08.26 09:00:00,0.64599,0.6466,0.64181,0.64298,42907.63
2003.08.26 13:00:00,0.64312,0.64728,0.64285,0.6444,20130.15
2003.08.26 17:00:00,0.64452,0.64587,0.64311,0.64391,10685.21
2003.08.26 21:00:00,0.644,0.64471,0.64278,0.64339,12732.44
2003.08.27 01:00:00,0.64335,0.6448,0.64245,0.64323,17823.5
2003.08.27 05:00:00,0.6427,0.64486,0.63656,0.63847,22311.56
2003.08.27 09:00:00,0.63834,0.64205,0.63712,0.64129,41736.35
